RT,acc_spd,accuracy,angle,block,coherence,dataset,id,left_right,subj_idx,tdcs,trial_NR
507,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,364
667,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,365
627,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,366
587,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,367
480,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,368
520,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,369
666,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,370
666,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,371
547,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,372
507,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,373
560,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,374
519,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,375
573,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,376
560,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,377
493,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,378
533,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,379
533,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,380
559,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,381
573,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,382
653,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,383
600,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,384
667,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,385
800,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,386
493,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,387
506,spd,0,180,1,0.4171,berkeley,S1.1,1,1,sham,388
573,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,389
493,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,390
546,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,391
533,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,392
